Bus Stop,Ordinat_X,Ordinat_Y,Deskripsi (Nama Halte dan Alamat)
1,104.6871163,-2.94493176,Talang Kelapa ATS (Up Point)
2,104.68806441,-2.94203905,Kantor Desa Tl. Kelapa
3,104.6881303,-2.94201638,Simpang Empat Perumnas Tl. Kelapa
4,104.68877294,-2.93895688,Griya Palm Tl. Kelapa
5,104.68907415,-2.93877287,Springhill Tl. Kelapa
6,104.69126615,-2.93616237,Kantor Camat Alang-Alang Lebar
7,104.69202961,-2.93552188,Griya Hero Abadi
8,104.69331622,-2.93386113,PDAM
9,104.69063315,-2.93219738,Alfamart
10,104.69482349,-2.93387775,Surveyor Indonesia
11,104.695015366,-2.93372739204,LRT Asrama Haji
12,104.703299296,-2.93343495435,Asrama Haji
13,104.70361686,-2.93328502,Asrama Haji 2
14,104.70489515,-2.93098749,LRT Asrama Haji 2
15,104.704876321,-2.93123551348,Kebun Bunga
16,104.70945839,-2.92577947,Perindustrian
17,104.70990754,-2.92551793,Trackindo
18,104.71169675,-2.91988414,JM Sukarami
19,104.71188362,-2.91938992,Akper Aisyah A
20,104.71187669,-2.91954775,RSU. Ar- Rasyid
21,104.71220843,-2.91673141,Gramedia
22,104.71205783,-2.91670149,Stasiun LRT Sukarela
23,104.71217771,-2.91700706,Charitas KM. 7
24,104.71175651,-2.9195411,Sumeks
25,104.714712498,-2.92659192107,Sumeks 2
26,104.71389424,-2.92598478,Charitas KM. 7 2
27,104.71534164,-2.92761503,Stasiun LRT Sukarela 2
28,104.71615195,-2.928729,Gramedia 2
29,104.71654636,-2.92971945,PUPR
30,104.71730037,-2.93108133,RSU. Ar-Rasyid
31,104.7178448,-2.93301081,Aisyia
32,104.71797434,-2.93283719121,JM Sukarami 2
33,104.71893476,-2.93587437,Daihatsu
34,104.7190313,-2.9358039,Damri
35,104.72001482,-2.93771013,Kebun Bunga 2
36,104.72015984,-2.93774711,Stasiun LRT Asrama Haji
37,104.72074143,-2.94055561,Asrama Haji 3
38,104.72248886,-2.93967237,Asrama Haji 4
39,104.72266748,-2.93987947,Stasiun LRT Asrama Haji 2
40,104.72351509,-2.9402229,Surveyor Indonesia 2
41,104.72394057,-2.94063773,Alfamart 2
42,104.72589485,-2.94149491,PDAM 2
43,104.72642096,-2.94190784,Griya Hero Abadi 2
44,104.72788943,-2.94255547,Springhill Talang Kelapa
45,104.72821589,-2.94291005,Simpang Empat Perumnas Tl. Kelapa 2
