Bus Stop,Ordinat_X,Ordinat_Y,Deskripsi (Nama Halte dan Alamat)
1,104.71175651,-2.9195411,
2,104.71205783,-2.91670149,
3,104.716083861,-2.91011465013,
4,104.71629453,-2.91031668,
5,104.724832299,-2.90771488472,
6,104.72494742,-2.90782902,
7,104.730483794,-2.90477141573,
8,104.73047674,-2.90497292,
9,104.738298359,-2.90743138008,
10,104.73809742,-2.90766837,
11,104.740407103,-2.9095545581,
12,104.7403014,-2.90974137,
13,104.742913353,-2.91210752408,
14,104.74273271,-2.91221228,
15,104.760535901,-2.91805116326,
16,104.76063538,-2.91826254,
17,104.766285712,-2.91806385251,
18,104.76633447,-2.91833532,
19,104.768752405,-2.91808699047,
20,104.76886635,-2.91835815,
21,104.770618841,-2.92037110455,
22,104.77055292,-2.9203847,
23,104.770048924,-2.92349379555,
24,104.770101868,-2.92348302541,
25,104.770181845,-2.92668722924,
26,104.7702262,-2.92667241,
27,104.770244988,-2.92776128868,
28,104.7703208,-2.92789459,
29,104.77229821,-2.9289333,
30,104.772356522,-2.92898231253,
31,104.77479526,-2.9290902,
32,104.77490599,-2.92897237,
33,104.776738646,-2.92756053645,
34,104.77680282,-2.92785724833,
35,104.78063184,-2.92928383794,
36,104.78092981,-2.92923946,
37,104.782359772,-2.92908207413,
38,104.782380182,-2.92926122972,
39,104.78361746,-2.93127445,
40,104.78369134,-2.93149893,
41,104.786060445,-2.93316006973,
42,104.7860419,-2.93327159,
43,104.78746308,-2.93371215,
44,104.78737103,-2.93381987,
45,104.78746996,-2.92809113,
46,104.78640863,-2.92261666,
47,104.78374597,-2.9224854,
48,104.78976712,-2.92208662,
49,104.79752559,-2.92036649,
50,104.80311542,-2.91946255,
51,104.80751353,-2.91868376,
52,104.81961827,-2.91638225,
53,104.82464216,-2.92101408,
54,104.82127522,-2.93389265,
55,104.82055092,-2.93556708,
56,104.8238581,-2.94330021,
57,104.82286567,-2.94757306,
58,104.82215538,-2.9507519,
59,104.81498322,-2.94977253,
60,104.80570556,-2.94798657,
61,104.80355927,-2.94771056,
62,104.80025731,-2.94734692,
63,104.80073927,-2.94553623,
64,104.80130688,-2.94314597,
65,104.80220579,-2.93983044,
66,104.79852789,-2.93931313,
67,104.79474869,-2.93750616,
68,104.79150791,-2.93320456,
69,104.79008312,-2.93088625,
70,104.74891709,-2.9167583,
71,104.749229214,-2.91658736401,
