Bus Stop,Ordinat_X,Ordinat_Y,Deskripsi (Nama Halte dan Alamat)
1,104.816,-2.99941,BS lingga motor ada
2,104.817,-3.0026,BS lorong setia ada
3,104.818,-3.00434,BS lorong aman B ada
4,104.818,-3.00558,BS SPBU 24 ada
5,104.818,-3.00783,BS pasar tegal binangun B ada
6,104.815,-3.01191,BS sma fitria abadi B ada
7,104.813,-3.01442,BS puskesmas tegal binangun B ada
8,104.81,-3.01746,BS Paud al bayyinah ada
9,104.808,-3.0202,BS GNPK ri ada
10,104.806,-3.02214,BS jl. talang peti ada
11,104.805,-3.02323,BS SDN 320 B ada
12,104.804,-3.02515,BS toko jaya ada
13,104.802,-3.02736,BS SDN 288 B ada
14,104.801,-3.02832,BS Indomaret ada
15,104.799,-3.03168,BS puskesmas ada
16,104.798,-3.03435,BS perumahan Chelsea ada
17,104.797,-3.03685,BS cluster winola B ada
18,104.796,-3.03877,BS plam springs ada
19,104.795,-3.03904,BS kios bunga ada
20,104.792,-3.03492,BS Depo djka B ada
21,104.79,-3.03154,BS stasiun lrt djka B ada
