Bus Stop,Ordinat_X,Ordinat_Y,Deskripsi (Nama Halte dan Alamat)
1,104.745,-2.93038,BS lingga motor ada
2,104.742,-2.92967,BS lorong setia ada
3,104.741,-2.92927,BS lorong aman B ada
4,104.738,-2.93096,BS SPBU 24 ada
5,104.737,-2.93298,BS pasar tegal binangun B ada
6,104.735,-2.93569,BS sma fitria abadi B ada
7,104.733,-2.93871,BS puskesmas tegal binangun B ada
8,104.732,-2.94034,BS Paud al bayyinah ada
9,104.731,-2.94211,BS GNPK ri ada
10,104.731,-2.94502,BS jl. talang peti ada
11,104.732,-2.94737,BS SDN 320 B ada
12,104.733,-2.94828,BS toko jaya ada
