Bus Stop,Ordinat_X,Ordinat_Y,Deskripsi (Nama Halte dan Alamat)
1,104.746,-2.97027,BS stadion kamboja ada
2,104.746,-2.96906,BS kantor camat ilir timur 1 ada
3,104.747,-2.96573,BS kopral umar said ada
4,104.746,-2.97017,20 Sep 2023 08.18.48
5,104.746,-2.9711,BS Univ Tridinanti A ada
6,104.744,-2.97265,BS simpang soraja A ada
7,104.743,-2.97555,BS palembang square ada
8,104.745,-2.97674,BS LRT bumi sriwijaya ada
9,104.744,-2.97939,BS Dprd sumsel ada
10,104.741,-2.97785,BS arya duta ada
11,104.737,-2.97772,BS puncak sikuning A ada
12,104.737,-2.97911,BS Family A ada
13,104.738,-2.98355,BS sdn 22 ada
14,104.738,-2.98532,BS sman 2 ada
15,104.738,-2.98677,BS riau A ada
16,104.738,-2.98848,BS emporium ada
17,104.738,-2.98955,BS kemang manis A ada
18,104.735,-2.98979,BS simpang polsek ada
19,104.734,-2.99032,BS k.camat ilir barat 1 ada
20,104.732,-2.99134,BS simpang univ plg ada
21,104.73,-2.99029,BS smpn 17 ada
22,104.729,-2.99023,Bs pasca sarjana A ada
23,104.727,-2.99176,Bs srijaya negara A ada
24,104.727,-2.99287,Bs ada
25,104.726,-2.99447,Bs ada
