Bus Stop,Ordinat_X,Ordinat_Y,Deskripsi (Nama Halte dan Alamat)
1,104.68,-2.96126,
2,104.68,-2.96123,
3,104.681,-2.96105,
4,104.681,-2.96116,
5,104.682,-2.96118,
6,104.683,-2.96278,
7,104.683,-2.963,
8,104.683,-2.96622,
9,104.683,-2.96715,
10,104.683,-2.9676,
11,104.683,-2.96763,
12,104.683,-2.96766,
13,104.685,-2.96851,
14,104.686,-2.97157,
15,104.686,-2.97162,
16,104.688,-2.97196,
17,104.689,-2.97209,
18,104.69,-2.97402,
19,104.69,-2.97418,
20,104.691,-2.97455,
21,104.692,-2.97482,
22,104.693,-2.97476,
23,104.693,-2.9747,
24,104.695,-2.97484,
25,104.695,-2.97492,
26,104.695,-2.97496,
27,104.698,-2.9774,
28,104.699,-2.97789,
29,104.7,-2.97824,
30,104.7,-2.97833,
31,104.7,-2.97834,
32,104.702,-2.97984,
33,104.702,-2.97984,
34,104.704,-2.98168,
35,104.704,-2.98175,
36,104.707,-2.98153,
37,104.707,-2.98154,
38,104.708,-2.98154,
39,104.709,-2.98134,
40,104.711,-2.98202,
41,104.712,-2.98245,
42,104.712,-2.98241,
43,104.713,-2.98206,
44,104.714,-2.98166,
45,104.714,-2.98158,
46,104.716,-2.98057,
47,104.714,-2.97502,
48,104.714,-2.97577,
49,104.715,-2.97581,
50,104.716,-2.98112,
51,104.716,-2.98121,
52,104.717,-2.98228,
53,104.718,-2.98427,
54,104.718,-2.98574,
55,104.718,-2.98601,
56,104.718,-2.98626,
57,104.718,-2.98623,
58,104.718,-2.98628,
59,104.718,-2.98636,
60,104.72,-2.98718,
61,104.721,-2.98702,
62,104.721,-2.98696,
63,104.723,-2.98692,
64,104.723,-2.98695,
65,104.723,-2.98696,
66,104.725,-2.98625,
67,104.725,-2.9854,
68,104.724,-2.98435,
69,104.724,-2.98377,
70,104.724,-2.98246,
71,104.724,-2.98047,
72,104.725,-2.97849,
73,104.725,-2.97652,
74,104.726,-2.97642,
75,104.726,-2.97627,
76,104.726,-2.97588,
77,104.727,-2.97456,
78,104.727,-2.9745,
79,104.727,-2.97416,
80,104.728,-2.97394,
81,104.729,-2.97254,
82,104.731,-2.97091,
83,104.733,-2.96965,
84,104.733,-2.96926,
85,104.737,-2.97065,
86,104.737,-2.97068,
87,104.738,-2.97081,
88,104.739,-2.97126,
89,104.742,-2.97493,
90,104.742,-2.97533,
91,104.745,-2.97674,
92,104.744,-2.97933,
93,104.741,-2.97778,
94,104.741,-2.9777,
95,104.741,-2.97766,
96,104.741,-2.97762,
97,104.738,-2.97484,
