Bus Stop,Ordinat_X,Ordinat_Y,X,Y
Terminal sako,104.7903950700001,-2.931505699999946,"104°47' 25,422"" E","2°55' 53,421"" S"
H.simpang bombat,104.7864796300001,-2.934411429999955,"104°47' 11,327"" E","2°56' 3,881"" S"
H.lorong manalagi A,104.78316641,-2.936946529999943,"104°46' 59,399"" E","2°56' 13,008"" S"
H. sapta marga,104.7834042300001,-2.94080914999995,"104°47' 0,255"" E","2°56' 26,913"" S"
H.spbu cilentang,104.7844734600001,-2.94328693999995,"104°47' 4,104"" E","2°56' 35,833"" S"
H.Grand garden,104.7855403300001,-2.94719189999995,"104°47' 7,945"" E","2°56' 49,891"" S"
H.Simpang celentang A,104.7854903000001,-2.949698699999942,"104°47' 7,765"" E","2°56' 58,915"" S"
H. BHL,104.7833798900001,-2.950334729999952,"104°47' 0,168"" E","2°57' 1,205"" S"
H. kusuma bangsa B,104.77724398,-2.949140389999968,"104°46' 38,078"" E","2°56' 56,905"" S"
H. tunas bangsa,104.77284574,-2.949453109999979,"104°46' 22,245"" E","2°56' 58,031"" S"
H. PTC A,104.7612299300001,-2.951879189999943,"104°45' 40,428"" E","2°57' 6,765"" S"
H. spbu sukamto,104.75875067,-2.952192999999966,"104°45' 31,502"" E","2°57' 7,895"" S"
H.BLPT A,104.7526711,-2.953506119999929,"104°45' 9,616"" E","2°57' 12,622"" S"
H. smp 9/10,104.7508899900001,-2.954187629999979,"104°45' 3,204"" E","2°57' 15,075"" S"
H. rimba kemuning A,104.7434213700001,-2.957028359999924,"104°44' 36,317"" E","2°57' 25,302"" S"
H. transit gloria polda,104.7408785700001,-2.962608629999977,"104°44' 27,163"" E","2°57' 45,391"" S"
H. PDAM,104.74066507,-2.962707569999964,"104°44' 26,394"" E","2°57' 45,747"" S"
H. smkn 2,104.73506632,-2.966208399999971,"104°44' 6,239"" E","2°57' 58,350"" S"
H. rs siti khodija A,104.73118872,-2.970936649999942,"104°43' 52,279"" E","2°58' 15,372"" S"
