route_name,route_type,stop_id,stop_name,sequence,longitude,latitude
Koridor 1 - Talang Kelapa - Talang Buruk,angkot_feeder,AF_Koridor 1 - Talang Kelapa - Talang Buruk_1,Talang Kelapa ATS (Up Point),1,104.6871163,-2.94493176
Koridor 1 - Talang Kelapa - Talang Buruk,angkot_feeder,AF_Koridor 1 - Talang Kelapa - Talang Buruk_2,Kantor Desa Tl. Kelapa,2,104.68806441,-2.94203905
Koridor 1 - Talang Kelapa - Talang Buruk,angkot_feeder,AF_Koridor 1 - Talang Kelapa - Talang Buruk_3,Simpang Empat Perumnas Tl. Kelapa,3,104.6881303,-2.94201638
Koridor 1 - Talang Kelapa - Talang Buruk,angkot_feeder,AF_Koridor 1 - Talang Kelapa - Talang Buruk_4,Griya Palm Tl. Kelapa,4,104.68877294,-2.93895688
Koridor 1 - Talang Kelapa - Talang Buruk,angkot_feeder,AF_Koridor 1 - Talang Kelapa - Talang Buruk_5,Springhill Tl. Kelapa,5,104.68907415,-2.93877287
Koridor 1 - Talang Kelapa - Talang Buruk,angkot_feeder,AF_Koridor 1 - Talang Kelapa - Talang Buruk_6,Kantor Camat Alang-Alang Lebar,6,104.69126615,-2.93616237
Koridor 1 - Talang Kelapa - Talang Buruk,angkot_feeder,AF_Koridor 1 - Talang Kelapa - Talang Buruk_7,Griya Hero Abadi,7,104.69202961,-2.93552188
Koridor 1 - Talang Kelapa - Talang Buruk,angkot_feeder,AF_Koridor 1 - Talang Kelapa - Talang Buruk_8,PDAM (A),8,104.69331622,-2.93386113
Koridor 1 - Talang Kelapa - Talang Buruk,angkot_feeder,AF_Koridor 1 - Talang Kelapa - Talang Buruk_9,Alfamart (A),9,104.69063315,-2.93219738
Koridor 1 - Talang Kelapa - Talang Buruk,angkot_feeder,AF_Koridor 1 - Talang Kelapa - Talang Buruk_10,Halte Surveyor Indonesia,10,104.69482349,-2.93387775
Koridor 1 - Talang Kelapa - Talang Buruk,angkot_feeder,AF_Koridor 1 - Talang Kelapa - Talang Buruk_11,Halte LRT Asrama Haji (A) ,11,104.695015366,-2.93372739204
Koridor 1 - Talang Kelapa - Talang Buruk,angkot_feeder,AF_Koridor 1 - Talang Kelapa - Talang Buruk_12,Asrama Haji (A),12,104.703299296,-2.93343495435
Koridor 1 - Talang Kelapa - Talang Buruk,angkot_feeder,AF_Koridor 1 - Talang Kelapa - Talang Buruk_13,Asrama Haji (B),13,104.70361686,-2.93328502
Koridor 1 - Talang Kelapa - Talang Buruk,angkot_feeder,AF_Koridor 1 - Talang Kelapa - Talang Buruk_14,Halte LRT Asrama Haji (B),14,104.70489515,-2.93098749
Koridor 1 - Talang Kelapa - Talang Buruk,angkot_feeder,AF_Koridor 1 - Talang Kelapa - Talang Buruk_15,Kebun Bunga (A),15,104.704876321,-2.93123551348
Koridor 1 - Talang Kelapa - Talang Buruk,angkot_feeder,AF_Koridor 1 - Talang Kelapa - Talang Buruk_16,Halte Prindustrian ,16,104.70945839,-2.92577947
Koridor 1 - Talang Kelapa - Talang Buruk,angkot_feeder,AF_Koridor 1 - Talang Kelapa - Talang Buruk_17,Halte Trackindo ,17,104.70990754,-2.92551793
Koridor 1 - Talang Kelapa - Talang Buruk,angkot_feeder,AF_Koridor 1 - Talang Kelapa - Talang Buruk_18,JM Sukarami (A),18,104.71169675,-2.91988414
Koridor 1 - Talang Kelapa - Talang Buruk,angkot_feeder,AF_Koridor 1 - Talang Kelapa - Talang Buruk_19,Halte Aisyia ,19,104.71188362,-2.91938992
Koridor 1 - Talang Kelapa - Talang Buruk,angkot_feeder,AF_Koridor 1 - Talang Kelapa - Talang Buruk_20,RSU. Ar-Rasyid ,20,104.71187669,-2.91954775
Koridor 1 - Talang Kelapa - Talang Buruk,angkot_feeder,AF_Koridor 1 - Talang Kelapa - Talang Buruk_21,Gramedia (A),21,104.71220843,-2.91673141
Koridor 1 - Talang Kelapa - Talang Buruk,angkot_feeder,AF_Koridor 1 - Talang Kelapa - Talang Buruk_22,Stasiun LRT Sukarela (A),22,104.71205783,-2.91670149
Koridor 1 - Talang Kelapa - Talang Buruk,angkot_feeder,AF_Koridor 1 - Talang Kelapa - Talang Buruk_23,Halte Charitas KM.7,23,104.71217771,-2.91700706
Koridor 1 - Talang Kelapa - Talang Buruk,angkot_feeder,AF_Koridor 1 - Talang Kelapa - Talang Buruk_24,Halte Sumeks (A),24,104.71175651,-2.9195411
Koridor 1 - Talang Kelapa - Talang Buruk,angkot_feeder,AF_Koridor 1 - Talang Kelapa - Talang Buruk_25,Halte Charitas KM.7 (B),25,104.714712498,-2.92659192107
Koridor 1 - Talang Kelapa - Talang Buruk,angkot_feeder,AF_Koridor 1 - Talang Kelapa - Talang Buruk_26,Stasiun LRT Sukarela (B),26,104.71389424,-2.92598478
Koridor 1 - Talang Kelapa - Talang Buruk,angkot_feeder,AF_Koridor 1 - Talang Kelapa - Talang Buruk_27,Gramedia (B),27,104.71534164,-2.92761503
Koridor 1 - Talang Kelapa - Talang Buruk,angkot_feeder,AF_Koridor 1 - Talang Kelapa - Talang Buruk_28,PUPR ,28,104.71615195,-2.928729
