stop_id,stop_name,lat,lon,route
Feeder_Koridor_1_1,Talang Kelapa ATS (Up Point),-2.94493176,104.6871163,Feeder Koridor 1
Feeder_Koridor_1_2,Kantor Desa Tl. Kelapa,-2.94203905,104.68806441,Feeder Koridor 1
Feeder_Koridor_1_3,Simpang Empat Perumnas Tl. Kelapa,-2.94201638,104.6881303,Feeder Koridor 1
Feeder_Koridor_1_4,Griya Palm Tl. Kelapa,-2.93895688,104.68877294,Feeder Koridor 1
Feeder_Koridor_1_5,Springhill Tl. Kelapa,-2.93877287,104.68907415,Feeder Koridor 1
Feeder_Koridor_1_6,Kantor Camat Alang-Alang Lebar,-2.93616237,104.69126615,Feeder Koridor 1
Feeder_Koridor_1_7,Griya Hero Abadi,-2.93552188,104.69202961,Feeder Koridor 1
Feeder_Koridor_1_8,PDAM (A),-2.93386113,104.69331622,Feeder Koridor 1
Feeder_Koridor_1_9,Alfamart (A),-2.93219738,104.69063315,Feeder Koridor 1
Feeder_Koridor_1_10,Halte Surveyor Indonesia,-2.93387775,104.69482349,Feeder Koridor 1
Feeder_Koridor_1_11,Halte LRT Asrama Haji (A) ,-2.93372739204,104.695015366,Feeder Koridor 1
Feeder_Koridor_1_12,Asrama Haji (A),-2.93343495435,104.703299296,Feeder Koridor 1
Feeder_Koridor_1_13,Asrama Haji (B),-2.93328502,104.70361686,Feeder Koridor 1
Feeder_Koridor_1_14,Halte LRT Asrama Haji (B),-2.93098749,104.70489515,Feeder Koridor 1
Feeder_Koridor_1_15,Kebun Bunga (A),-2.93123551348,104.704876321,Feeder Koridor 1
Feeder_Koridor_1_16,Halte Prindustrian ,-2.92577947,104.70945839,Feeder Koridor 1
Feeder_Koridor_1_17,Halte Trackindo ,-2.92551793,104.70990754,Feeder Koridor 1
Feeder_Koridor_1_18,JM Sukarami (A),-2.91988414,104.71169675,Feeder Koridor 1
Feeder_Koridor_1_19,Halte Aisyia ,-2.91938992,104.71188362,Feeder Koridor 1
Feeder_Koridor_1_20,RSU. Ar-Rasyid ,-2.91954775,104.71187669,Feeder Koridor 1
Feeder_Koridor_1_21,Gramedia (A),-2.91673141,104.71220843,Feeder Koridor 1
Feeder_Koridor_1_22,Stasiun LRT Sukarela (A),-2.91670149,104.71205783,Feeder Koridor 1
