KA,DJKA,JAKABARING,POLRESTA,AMPERA,CINDE,DISHUB,BUMI SRIWIJAYA,DEMANG,GARUDA DEMPO,RSUD,PUNTI KAYU,ASRAMA HAJI,BANDARA
P7003B,05:06,05:08,05:12,05:16,05:20,05:23,05:25,05:30,05:34,05:36,05:39,05:45,05:55
P7001,05:24,05:26,05:30,05:34,05:38,05:41,05:43,05:48,05:51,05:54,05:57,06:03,06:13
P1,06:00,06:01,06:05,06:10,06:13,06:16,06:18,06:23,06:27,06:29,06:33,06:39,06:49
P3,06:17,06:19,06:23,06:27,06:31,06:34,06:36,06:41,06:45,06:47,06:50,06:56,07:06
P5,06:35,06:37,06:41,06:45,06:48,06:52,06:54,06:59,07:02,07:05,07:08,07:14,07:24
P7,06:53,06:54,06:59,07:03,07:06,07:09,07:11,07:17,07:20,07:22,07:26,07:32,07:42
P9,07:11,07:12,07:16,07:21,07:24,07:27,07:29,07:34,07:38,07:40,07:44,07:50,08:00
P11,07:28,07:30,07:34,07:38,07:42,07:45,07:47,07:52,07:56,07:58,08:01,08:07,08:17
P13,07:46,07:48,07:52,07:56,07:59,08:03,08:05,08:10,08:13,08:16,08:19,08:25,08:35
P15,08:04,08:05,08:10,08:14,08:17,08:20,08:22,08:28,08:31,08:33,08:37,08:43,08:53
P17,08:22,08:23,08:27,08:32,08:35,08:38,08:40,08:45,08:49,08:51,08:55,09:01,09:11
P19,08:39,08:41,08:45,08:49,08:53,08:56,08:58,09:03,09:07,09:09,09:12,09:18,09:28
P21,08:57,08:59,09:03,09:07,09:10,09:14,09:16,09:21,09:24,09:27,09:30,09:36,09:46
P23,09:15,09:16,09:21,09:25,09:28,09:31,09:33,09:39,09:42,09:44,09:48,09:54,10:04
P25,09:33,09:34,09:38,09:43,09:46,09:49,09:51,09:56,10:00,10:02,10:06,10:12,10:22
P27,09:50,09:52,09:56,10:00,10:04,10:07,10:09,10:14,10:18,10:20,10:23,10:29,10:39
P29,10:08,10:10,10:14,10:18,10:21,10:25,10:27,10:32,10:35,10:38,10:41,10:47,10:57
P31,10:26,10:27,10:32,10:36,10:39,10:42,10:44,10:50,10:53,10:55,10:59,11:05,11:15
P33,10:44,10:45,10:49,10:54,10:57,11:00,11:02,11:07,11:11,11:13,11:17,11:23,11:33
P35,11:01,11:03,11:07,11:11,11:15,11:18,11:20,11:25,11:29,11:31,11:34,11:40,11:50
P37,11:19,11:21,11:25,11:29,11:32,11:36,11:38,11:43,11:46,11:49,11:52,11:58,12:08
P39,11:37,11:38,11:43,11:47,11:50,11:53,11:55,12:01,12:04,12:06,12:10,12:16,12:26
P41,11:55,11:56,12:00,12:05,12:08,12:11,12:13,12:18,12:22,12:24,12:28,12:34,12:44
P43,12:12,12:14,12:18,12:22,12:26,12:29,12:31,12:36,12:40,12:42,12:45,12:51,13:01
P45,12:30,12:32,12:36,12:40,12:43,12:47,12:49,12:54,12:57,13:00,13:03,13:09,13:19
P47,12:48,12:49,12:54,12:58,13:01,13:04,13:06,13:12,13:15,13:17,13:21,13:27,13:37
P49,13:06,13:07,13:11,13:16,13:19,13:22,13:24,13:29,13:35,13:35,13:39,13:45,13:55
P51,13:23,13:25,13:29,13:33,13:37,13:40,13:42,13:47,13:51,13:53,13:56,14:02,14:12
P53,13:41,13:43,13:47,13:51,13:54,13:58,14:00,14:05,14:08,14:11,14:14,14:20,14:30
P55,13:59,14:00,14:05,14:09,14:12,14:15,14:17,14:23,14:26,14:28,14:32,14:38,14:48
P57,14:17,14:18,14:22,14:27,14:30,14:33,14:35,14:40,14:44,14:46,14:50,14:56,15:06
P59,14:34,14:36,14:40,14:44,14:48,14:51,14:53,14:58,15:02,15:04,15:07,15:13,15:23
P61,14:52,14:54,14:58,15:02,15:05,15:09,15:11,15:16,15:19,15:22,15:25,15:31,15:41
P63,15:10,15:11,15:16,15:20,15:23,15:26,15:28,15:34,15:37,15:39,15:43,15:49,15:59
P65,15:28,15:29,15:33,15:38,15:41,15:44,15:46,15:51,15:55,15:57,16:01,16:07,16:17
P67,15:45,15:47,15:51,15:55,15:59,16:02,16:04,16:09,16:13,16:15,16:18,16:24,16:34
P69,16:03,16:05,16:09,16:13,16:16,16:20,16:22,16:27,16:30,16:33,16:36,16:42,16:52
P71,16:21,16:22,16:27,16:31,16:34,16:37,16:39,16:45,16:48,16:50,16:54,17:00,17:10
P73,16:39,16:40,16:44,16:49,16:52,16:55,16:57,17:02,17:06,17:08,17:12,17:18,17:28
P75,16:56,16:58,17:02,17:06,17:10,17:13,17:15,17:20,17:24,17:26,17:29,17:35,17:45
P77,17:14,17:16,17:20,17:24,17:27,17:31,17:33,17:38,17:41,17:44,17:47,17:53,18:03
P79,17:32,17:33,17:38,17:42,17:45,17:48,17:50,17:56,17:59,18:01,18:05,18:11,18:21
P81,17:50,17:51,17:55,18:00,18:03,18:06,18:08,18:13,18:17,18:19,18:23,18:29,18:39
P83,18:07,18:09,18:13,18:17,18:21,18:24,18:26,18:31,18:35,18:37,18:40,18:46,18:56
P85,18:25,18:27,18:31,18:35,18:38,18:42,18:44,18:49,18:52,18:55,18:58,19:04,19:14
P87,18:43,18:44,18:49,18:53,18:56,18:59,19:01,19:07,19:10,19:12,19:16,19:22,19:32
P7005,19:01,19:03,19:07,19:11,19:15,19:18,19:20,19:25,19:28,19:31,19:34,19:40,19:50
