Bus Stop,Ordinat_X,Ordinat_Y,Deskripsi (Nama Halte dan Alamat)
1,104.723820,-2.940535,Stasiun LRT Punti Kayu
2,104.732686,-2.948308,Stasiun LRT RSDU Prov Sumsel
3,104.735784,-2.956055,Stasiun LRT Garuda Dempo
4,104.736048,-2.964308,Stasiun LRT Demang
5,104.705661,-2.894114,Stasiun LRT Bandara SMB 2
6,104.711650,-2.919806,Stasiun LRT Asrama Haji
7,104.744793,-2.977152,Stasiun LRT Bumi Sriwijaya
8,104.749119,-2.978429,Stasiun LRT Dishub
9,104.756007,-2.980622,Stasiun LRT Pasar Cinde
10,104.761762,-2.988717,Stasiun LRT Pasar 16 Ilir
11,104.772349,-3.004957,Stasiun LRT Polresta
12,104.784621,-3.023214,Stasiun LRT Jakabaring
13,104.790251,-3.031568,Stasiun LRT DJKA
