observation_id,respondent_id,alternative_index,label,optimized_for,time_minutes,cost_rupiah,transfers,access_km,comfort,reliability,age,gender,occupation,income,vehicle_ownership,trip_purpose,transit_frequency,pref_time,pref_cost,pref_comfort,pref_accessibility,pref_reliability,chosen
0,657b594f-1d4a-48ca-89eb-10e190342b2f,0,Tercepat,time,85.59818964204763,5000.0,2.0,1.6346054982611937,2.6241547195627986,3.0701881506298743,,,,,,,,,,,,,1
0,657b594f-1d4a-48ca-89eb-10e190342b2f,1,Rekomendasi,alternative,88.1330145143855,10000.0,2.0,1.9286708104487464,2.880828856324865,3.291251279699714,,,,,,,,,,,,,0
0,657b594f-1d4a-48ca-89eb-10e190342b2f,2,Kendaraan Pribadi,private_vehicle,16.5,2551.0,0.0,0.0,4.0,3.0,,,,,,,,,,,,,0
1,38804b74-2ba0-4309-8b28-388586d0a3e7,0,Rekomendasi,time,28.62693005028197,5000.0,0.0,0.20769437128852958,4.782343718739253,4.956468743747852,<18,Perempuan,Wiraswasta,5-10 juta,Mobil,Kerja,Beberapa kali seminggu,3.0,4.0,2.0,4.0,4.0,1
1,38804b74-2ba0-4309-8b28-388586d0a3e7,1,Kendaraan Pribadi,private_vehicle,33.8,2815.0,0.0,0.0,4.0,3.0,<18,Perempuan,Wiraswasta,5-10 juta,Mobil,Kerja,Beberapa kali seminggu,3.0,4.0,2.0,4.0,4.0,0
2,543998fb-e431-4dbb-8506-69d8773616ed,0,Rekomendasi,time,69.63777386959492,10000.0,2.0,0.6731463332112869,2.701271265230619,3.274512279065976,18-25,Laki-laki,Pelajar/Mahasiswa,<1 juta,Tidak punya,Sekolah/Kuliah,Beberapa kali seminggu,5.0,5.0,5.0,5.0,5.0,0
2,543998fb-e431-4dbb-8506-69d8773616ed,1,Termurah,cost,71.29209307160843,5000.0,2.0,1.0106875514995224,2.4088770019093593,2.8387564444190327,18-25,Laki-laki,Pelajar/Mahasiswa,<1 juta,Tidak punya,Sekolah/Kuliah,Beberapa kali seminggu,5.0,5.0,5.0,5.0,5.0,1
2,543998fb-e431-4dbb-8506-69d8773616ed,2,Kendaraan Pribadi,private_vehicle,33.2,2770.0,0.0,0.0,4.0,3.0,18-25,Laki-laki,Pelajar/Mahasiswa,<1 juta,Tidak punya,Sekolah/Kuliah,Beberapa kali seminggu,5.0,5.0,5.0,5.0,5.0,0
3,ae321474-fe61-442a-9891-17ecbdca53e2,0,Rekomendasi,time,30.43149962991088,5000.0,0.0,0.7182534584851208,3.5395104046800814,3.4604895953199186,18-25,Laki-laki,Pelajar/Mahasiswa,1-3 juta,Motor dan mobil,Sekolah/Kuliah,Beberapa kali seminggu,5.0,3.0,5.0,3.0,5.0,1
3,ae321474-fe61-442a-9891-17ecbdca53e2,1,Termurah,cost,38.79508894904543,0.0,0.0,0.7626381277860468,2.495563512516345,2.4939527786779507,18-25,Laki-laki,Pelajar/Mahasiswa,1-3 juta,Motor dan mobil,Sekolah/Kuliah,Beberapa kali seminggu,5.0,3.0,5.0,3.0,5.0,0
3,ae321474-fe61-442a-9891-17ecbdca53e2,2,Kendaraan Pribadi,private_vehicle,9.5,790.0,0.0,0.0,4.0,3.0,18-25,Laki-laki,Pelajar/Mahasiswa,1-3 juta,Motor dan mobil,Sekolah/Kuliah,Beberapa kali seminggu,5.0,3.0,5.0,3.0,5.0,0
4,78b68e37-1801-4f55-97be-77c096634558,0,Rekomendasi,time,47.62732143185535,5000.0,0.0,0.4204153055451641,3.394073747696261,3.6059262523037385,18-25,Laki-laki,Pelajar/Mahasiswa,5-10 juta,Motor dan mobil,Sekolah/Kuliah,Beberapa kali seminggu,,,,,,1
4,78b68e37-1801-4f55-97be-77c096634558,1,Kendaraan Pribadi,private_vehicle,30.2,2515.0,0.0,0.0,4.0,3.0,18-25,Laki-laki,Pelajar/Mahasiswa,5-10 juta,Motor dan mobil,Sekolah/Kuliah,Beberapa kali seminggu,,,,,,0
5,b38afdb4-49a8-404a-9787-42d99a365b52,0,Rekomendasi,time,53.51457244752321,10000.0,1.0,0.18061360754227873,3.7890019351268487,4.170002798681638,18-25,Perempuan,Pelajar/Mahasiswa,1-3 juta,Motor,Sekolah/Kuliah,Setiap hari,3.0,3.0,3.0,3.0,3.0,1
