corridor,date,day_of_week,departure_time,arrival_time,from_stop,to_stop,from_name,to_name,from_coord,to_coord,distance_km,travel_time_min,effective_speed_kmh,traffic_condition,cumulative_time_min
Angkot Feeder Koridor 8,2025-09-29,Monday,06:00:00,06:08:23,1,2,Unknown,Unknown,"""-2.8950056,104.7245833""","""-2.9194806,104.7117722""",3.071,8.39,22.0,Moderate,8.39
Angkot Feeder Koridor 8,2025-09-29,Monday,06:08:23,06:19:19,2,3,Unknown,Head south on Lrg. Tj. Harapan toward Jl. AMD,"""-2.9194806,104.7117722""","""-2.8949988,104.7245572""",3.07,10.93,16.8,Heavy,19.32
Angkot Feeder Koridor 8,2025-09-29,Monday,06:19:19,06:19:21,3,4,Head south on Lrg. Tj. Harapan toward Jl. AMD,Turn left onto Jl. AMD,"""-2.8949988,104.7245572""","""-2.8950945,104.7245324""",0.011,0.04,18.0,Heavy,19.36
Angkot Feeder Koridor 8,2025-09-29,Monday,06:19:21,06:20:08,4,5,Turn left onto Jl. AMD,Turn right onto Jl. Tj. Api-Api/Jl. Tj. Siapi Api,"""-2.8950945,104.7245324""","""-2.8953786,104.7265849""",0.23,0.78,17.7,Heavy,20.14
Angkot Feeder Koridor 8,2025-09-29,Monday,06:20:08,06:23:43,5,6,Turn right onto Jl. Tj. Api-Api/Jl. Tj. Siapi Api,Continue straight onto Jl. Letjen Harun Sohar/Jl. Tj. Api-Api,"""-2.8953786,104.7265849""","""-2.9036224,104.7276603""",0.924,3.59,15.4,Heavy,23.73
Angkot Feeder Koridor 8,2025-09-29,Monday,06:23:43,06:34:03,6,7,Continue straight onto Jl. Letjen Harun Sohar/Jl. Tj. Api-Api,Make a U-turn,"""-2.9036224,104.7276603""","""-2.9205337,104.7117472""",2.581,10.32,15.0,Heavy,34.05
Angkot Feeder Koridor 8,2025-09-29,Monday,06:34:03,06:43:56,7,8,Make a U-turn,K8 Asrama Haji - Talang Jambe - Asrama Haji,"""-2.9205337,104.7117472""","""-2.895029999999999,104.72458""",3.174,9.89,19.3,Heavy,43.94
Angkot Feeder Koridor 8,2025-09-29,Monday,06:43:56,06:46:35,8,9,K8 Asrama Haji - Talang Jambe - Asrama Haji,Unknown,"""-2.895029999999999,104.72458""","""-2.8962278,104.7163111""",0.928,2.65,21.0,Moderate,46.59
Angkot Feeder Koridor 8,2025-09-29,Monday,06:46:35,06:49:34,9,10,Unknown,Unknown,"""-2.8962278,104.7163111""","""-2.8950056,104.7245833""",0.929,2.98,18.7,Heavy,49.57
Angkot Feeder Koridor 8,2025-09-29,Monday,06:49:34,06:52:49,10,11,Unknown,Head east on Jl. AMD toward Jl. Pesantren Sultan Mahmud Baddaruddin II,"""-2.8950056,104.7245833""","""-2.896204099999999,104.7163186""",0.927,3.26,17.1,Heavy,52.83
Angkot Feeder Koridor 8,2025-09-29,Monday,06:52:49,06:55:34,11,12,Head east on Jl. AMD toward Jl. Pesantren Sultan Mahmud Baddaruddin II,Turn left onto Lrg. Tj. Harapan,"""-2.896204099999999,104.7163186""","""-2.8950945,104.7245324""",0.92,2.75,20.1,Moderate,55.58
Angkot Feeder Koridor 8,2025-09-29,Monday,06:55:34,06:58:11,12,13,Turn left onto Lrg. Tj. Harapan,Head east on Jl. AMD toward Jl. Pesantren Sultan Mahmud Baddaruddin II,"""-2.8950945,104.7245324""","""-2.896204099999999,104.7163186""",0.92,2.61,21.2,Moderate,58.19
Angkot Feeder Koridor 8,2025-09-29,Monday,06:58:11,07:01:03,13,14,Head east on Jl. AMD toward Jl. Pesantren Sultan Mahmud Baddaruddin II,Turn left onto Lrg. Tj. Harapan,"""-2.896204099999999,104.7163186""","""-2.8950945,104.7245324""",0.92,2.86,19.3,Heavy,61.05
Angkot Feeder Koridor 8,2025-09-29,Monday,07:01:03,07:03:51,14,15,Turn left onto Lrg. Tj. Harapan,K8 Asrama Haji - Talang Jambe - Asrama Haji,"""-2.8950945,104.7245324""","""-2.89617,104.71635""",0.917,2.81,19.6,Heavy,63.86
Angkot Feeder Koridor 8,2025-09-29,Monday,07:03:51,07:14:00,15,16,K8 Asrama Haji - Talang Jambe - Asrama Haji,Stasiun LRT Asrama Haji A,"""-2.89617,104.71635""","""-2.91935,104.7114055555555""",2.635,10.15,15.6,Heavy,74.01
Angkot Feeder Koridor 8,2025-09-29,Monday,07:14:00,07:15:09,16,17,Stasiun LRT Asrama Haji A,Asrama Haji B,"""-2.91935,104.7114055555555""","""-2.916513888888889,104.7120194444445""",0.323,1.14,17.0,Heavy,75.15
Angkot Feeder Koridor 8,2025-09-29,Monday,07:15:09,07:17:27,17,18,Asrama Haji B,Kerajinan Karet B,"""-2.916513888888889,104.7120194444445""","""-2.910758333333333,104.7145361111111""",0.698,2.31,18.1,Heavy,77.46
Angkot Feeder Koridor 8,2025-09-29,Monday,07:17:27,07:21:49,18,19,Kerajinan Karet B,PDK,"""-2.910758333333333,104.7145361111111""","""-2.907272222222222,104.7251888888889""",1.245,4.37,17.1,Heavy,81.83
Angkot Feeder Koridor 8,2025-09-29,Monday,07:21:49,07:23:42,19,20,PDK,Simpang Bandara A,"""-2.907272222222222,104.7251888888889""","""-2.902958333333333,104.7272972222222""",0.534,1.87,17.1,Heavy,83.7
