corridor,date,day_of_week,departure_time,arrival_time,from_stop,to_stop,from_name,to_name,from_coord,to_coord,distance_km,travel_time_min,effective_speed_kmh,traffic_condition,cumulative_time_min
Teman Bus Koridor 5,2025-09-29,Monday,06:00:00,06:03:01,1,2,Teman Bus Koridor 5 - Stop 1,Teman Bus Koridor 5 - Stop 2,"""-2.97683928771229,104.7445948192885""","""-2.973467569401973,104.7383898279462""",0.784,3.03,15.5,Heavy,3.03
Teman Bus Koridor 5,2025-09-29,Monday,06:03:01,06:06:05,2,3,Teman Bus Koridor 5 - Stop 2,Teman Bus Koridor 5 - Stop 3,"""-2.973467569401973,104.7383898279462""","""-2.971398674524706,104.7306048141617""",0.895,3.06,17.5,Heavy,6.09
Teman Bus Koridor 5,2025-09-29,Monday,06:06:05,06:09:53,3,4,Teman Bus Koridor 5 - Stop 3,Teman Bus Koridor 5 - Stop 4,"""-2.971398674524706,104.7306048141617""","""-2.978782588037912,104.7246105878221""",1.057,3.8,16.7,Heavy,9.89
Teman Bus Koridor 5,2025-09-29,Monday,06:09:53,06:13:51,4,5,Teman Bus Koridor 5 - Stop 4,Teman Bus Koridor 5 - Stop 5,"""-2.978782588037912,104.7246105878221""","""-2.987789815066119,104.7196595083835""",1.143,3.96,17.3,Heavy,13.85
Teman Bus Koridor 5,2025-09-29,Monday,06:13:51,06:17:07,5,6,Teman Bus Koridor 5 - Stop 5,Teman Bus Koridor 5 - Stop 6,"""-2.987789815066119,104.7196595083835""","""-2.981007223190316,104.7159714754881""",0.858,3.27,15.8,Heavy,17.12
Teman Bus Koridor 5,2025-09-29,Monday,06:17:07,06:20:11,6,7,Teman Bus Koridor 5 - Stop 6,Teman Bus Koridor 5 - Stop 7,"""-2.981007223190316,104.7159714754881""","""-2.981667980198302,104.7065162029826""",1.053,3.07,20.6,Moderate,20.19
Teman Bus Koridor 5,2025-09-29,Monday,06:20:11,06:23:58,7,8,Teman Bus Koridor 5 - Stop 7,Teman Bus Koridor 5 - Stop 8,"""-2.981667980198302,104.7065162029826""","""-2.976347279214906,104.6969008969096""",1.221,3.79,19.3,Heavy,23.98
Teman Bus Koridor 5,2025-09-29,Monday,06:23:58,06:30:04,8,9,Teman Bus Koridor 5 - Stop 8,Teman Bus Koridor 5 - Stop 9,"""-2.976347279214906,104.6969008969096""","""-2.97016892750864,104.6852809083634""",1.462,6.09,14.4,Heavy,30.07
Teman Bus Koridor 5,2025-09-29,Monday,06:30:04,06:34:01,9,10,Teman Bus Koridor 5 - Stop 9,Teman Bus Koridor 5 - Stop 10,"""-2.97016892750864,104.6852809083634""","""-2.961374873166474,104.6800516395851""",1.137,3.96,17.2,Heavy,34.03
Teman Bus Koridor 5,2025-09-29,Monday,06:34:01,06:35:30,10,11,Teman Bus Koridor 5 - Stop 10,Teman Bus Koridor 5 - Stop 11,"""-2.961374873166474,104.6800516395851""","""-2.963763637812657,104.6831556851926""",0.435,1.47,17.8,Heavy,35.5
Teman Bus Koridor 5,2025-09-29,Monday,06:35:30,06:38:04,11,12,Teman Bus Koridor 5 - Stop 11,Teman Bus Koridor 5 - Stop 12,"""-2.963763637812657,104.6831556851926""","""-2.96949423067452,104.6850056620059""",0.67,2.58,15.5,Heavy,38.08
Teman Bus Koridor 5,2025-09-29,Monday,06:38:04,06:42:08,12,13,Teman Bus Koridor 5 - Stop 12,Teman Bus Koridor 5 - Stop 13,"""-2.96949423067452,104.6850056620059""","""-2.974683138493168,104.6938547697444""",1.14,4.06,16.8,Heavy,42.14
Teman Bus Koridor 5,2025-09-29,Monday,06:42:08,06:45:40,13,14,Teman Bus Koridor 5 - Stop 13,Teman Bus Koridor 5 - Stop 14,"""-2.974683138493168,104.6938547697444""","""-2.980427166498468,104.7029467108305""",1.195,3.54,20.2,Moderate,45.68
